id,name,name_es,size_category,weight_kg_min,weight_kg_max,height_cm_min,height_cm_max,life_expectancy_min,life_expectancy_max,energy_level,exercise_needs_daily_min,exercise_needs_daily_max,trainability,intelligence,good_with_children,good_with_dogs,good_with_cats,shedding,grooming_needs,barking_level,drooling,coat_type,coat_length,hypoallergenic,apartment_friendly,good_for_first_time,cold_tolerance,heat_tolerance,prey_drive,wanderlust,protectiveness,health_issues,origin_country,breed_group,temperament,special_needs,common_health_problems,description_es
border_collie,Border Collie,Border Collie,medium,14,20,46,56,12,15,5,90,120,5,5,4,4,3,4,3,3,2,medium,medium,False,2,2,4,3,5,3,3,2,Reino Unido,Herding,"[inteligente, ené´´rgico, alerta]","Ejercicio intensivo","[displasia de cadera, epilepsia]","El perro má ´s inteligente"
labrador_retriever,Labrador Retriever,Labrador Retriever,medium,25,36,55,62,10,12,5,60,90,5,4,5,5,4,4,2,2,3,short,short,False,3,5,5,3,4,3,3,3,Canadá´´,Sporting,"[amigable, activo, salida]","Ejercicio diario","[displasia de cadera, obesidad]","El perro familiar por excelencia"
golden_retriever,Golden Retriever,Golden Retriever,medium,25,34,51,61,10,12,4,60,90,5,4,5,5,4,4,3,2,2,long,medium,False,3,5,5,3,3,3,4,4,Escocia,Sporting,"[inteligente, amigable, devoto]","Ejercicio regular","[cá´´ncer, displasia de cadera]","Perro de compa˜ní´´a dorado"
bulldog,Bulldog,Bulldog Inglé´´s,medium,18,25,31,40,8,10,2,20,30,3,3,4,3,3,3,3,2,4,short,short,False,4,3,2,1,2,2,4,5,Inglaterra,Non-Sporting,"[digno, tranquilo, valiente]","Evitar calor","[sí´´ndrome braquicefá´´lico, displasia]","Sí´´mbolo de determinaciò´´´n"
boxer,Boxer,Bò´´´xer,medium,25,32,53,63,10,12,5,60,90,4,4,5,4,3,3,2,3,3,short,short,False,3,3,2,2,3,3,4,4,Alemania,Working,"[divertido, ené´´rgico, leal]","Ejercicio intensivo","[cá´´ncer, cardiomiopatí´´a]","Perro trabajador alemán"
australian_shepherd,Australian Shepherd,Pastor Australiano,medium,16,32,46,58,12,15,5,90,120,5,5,4,4,3,4,3,3,2,medium,medium,False,2,2,4,3,5,3,4,3,Estados Unidos,Herding,"[inteligente, ené´´rgico, leal]","Ejercicio intensivo","[displasia de cadera, epilepsia]","Pastor versá´´til e inteligente"
siberian_husky,Siberian Husky,Husky Siberiano,medium,16,27,50,60,12,14,5,90,120,2,4,4,5,2,5,3,4,2,long,medium,False,2,2,5,1,4,5,2,2,Siberia,Working,"[leal, extrovertido, alerta]","Ejercicio intensivo","[displasia de cadera, problemas oculares]","Perro de trineo á ´rtico"
spanish_water_dog,Spanish Water Dog,Perro de Agua Espa˜nol,medium,14,22,40,50,12,14,4,60,90,4,4,4,4,3,1,4,3,2,curly,medium,True,3,3,4,3,4,3,3,2,Espa˜na,Herding,"[inteligente, leal, ené´´rgico]","Grooming especializado","[displasia de cadera, problemas oculares]","Raza espa˜nola versá´´til"
german_shepherd,German Shepherd,Pastor Alemá´´n,large,30,40,55,65,9,13,5,90,120,5,5,4,3,3,4,3,3,2,medium,medium,False,2,3,5,3,4,3,5,4,Alemania,Herding,"[confiado, valiente, inteligente]","Ejercicio intensivo","[displasia de cadera, displasia de codo]","Perro de trabajo versá´´til"
rottweiler,Rottweiler,Rottweiler,large,35,60,56,69,8,10,4,60,90,4,4,4,3,3,3,2,3,3,short,short,False,2,2,4,3,3,2,5,4,Alemania,Working,"[seguro, valiente, leal]","Socializaciò´´´n temprana","[displasia de cadera, cá ´ncer]","Guardiá´´n poderoso pero noble"
great_dane,Great Dane,Gran Dané´´s,giant,45,90,71,86,7,10,3,30,60,3,3,4,4,3,3,2,2,3,short,short,False,3,3,3,2,2,2,4,5,Alemania,Working,"[amigable, paciente, confiado]","Espacio","[torsió´´´n gá´´strica, displasia]","El 'gigante gentil'"
doberman,Doberman Pinscher,Dò´´´berman,large,32,45,63,72,10,13,5,90,120,5,5,4,3,3,3,2,3,2,short,short,False,3,2,2,3,4,3,5,4,Alemania,Working,"[leal, alerta, valiente]","Ejercicio intensivo","[cardiomiopatí´´a, sí ´ndrome de Wobbler]","Perro de guardia elegante"
bernese_mountain,Bernese Mountain Dog,Boyero de Berna,large,35,50,58,70,6,8,3,30,60,3,3,5,4,4,4,3,2,3,long,long,False,2,3,5,1,3,2,4,5,Suiza,Working,"[afectuoso, leal, tranquilo]","Evitar calor","[cá´´ncer, displasia de cadera]","Gigante cari˜noso suizo"
mastiff,Mastiff,Mastí´´n Inglé´´s,giant,54,100,70,91,6,10,2,30,45,3,3,4,3,3,3,2,2,5,short,short,False,3,2,3,2,2,2,5,5,Inglaterra,Working,"[digno, valiente, bueno]","Espacio","[displasia de cadera, torsió´´´n gá´´strica]","Gigante tranquilo"
poodle_standard,Poodle Standard,Caniche/Poodle Está ´ndar,medium,20,32,45,60,12,15,4,60,90,5,5,4,4,4,1,5,3,1,curly,medium,True,4,4,4,3,3,3,3,3,Francia,Non-Sporting,"[inteligente, activo, alerta]","Grooming profesional","[displasia de cadera, enfermedad de Addison]","Una de las razas má ´s inteligentes"
cavalier_king_charles,Cavalier King Charles Spaniel,Cavalier King Charles Spaniel,small,5,8,30,33,9,14,3,30,45,4,3,5,5,5,3,3,2,2,long,medium,False,5,5,3,3,3,2,2,5,Reino Unido,Toy,"[afectuoso, gentil, juguetò´´´n]","Control cardí ´aco","[enfermedad valvular mitral, sí ´ndrome de Chiari]","Perro de compa˜ní´´a real"
shiba_inu,Shiba Inu,Shiba Inu,medium,8,11,33,43,12,15,4,45,60,2,4,3,2,2,4,3,3,1,double,short,False,3,2,5,2,4,4,3,2,Japò´´´n,Non-Sporting,"[alerta, activo, atento]","Socializaciò´´´n temprana","[luxaciò´´´n de rótula, displasia]","Raza japonesa independiente"
vizsla,Vizsla,Braco de Hungrí´´a,medium,20,29,53,64,12,14,5,90,120,4,4,5,4,3,3,2,3,2,short,short,False,2,3,3,4,5,4,3,2,Hungrí´´a,Sporting,"[afectuoso, ené´´rgico, leal]","Ejercicio intensivo","[displasia de cadera, epilepsia]","Perro de caza hó ´ngaro"
weimaraner,Weimaraner,Weimaraner,large,25,40,57,69,10,13,5,90,120,4,4,4,4,2,3,2,3,2,short,short,False,2,2,3,3,5,4,3,3,Alemania,Sporting,"[amigable, valiente, alerta]","Ejercicio intensivo","[displasia de cadera, torsió´´´n gá´´strica]","El 'fantasma gris'"
